id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
50394443,,Bergamo,2,$61.00,550,4.65
50430559,"San Fermo, Lombardia, Italy",Grone,4,$75.00,77,4.95
50459078,,Castione della Presolana,6,$150.00,2,4.5
50474561,,Bergamo,3,$63.00,4,4.75
50498089,,Gromo,4,$71.00,28,4.89
50516028,,Riva di Solto,6,$220.00,6,4.83
50533037,"Valgoglio, Lombardia, Italy",Valgoglio,4,$53.00,32,4.81
50568369,,Bergamo,6,,40,4.73
50649597,,Branzi,10,$42.00,2,4.5
50655494,,Ponte San Pietro,4,$89.00,16,4.81
50687600,,Lovere,3,$95.00,20,4.65
50703645,"Piangaiano, Lombardia, Italy",Endine Gaiano,4,,16,4.81
50739979,"Bergamo, Lombardia, Italy",Bergamo,6,$129.00,100,4.7
50743035,"Sarnico, Lombardia, Italy",Sarnico,4,$132.00,23,4.87
50822597,,San Paolo d'Argon,5,$72.00,1,5.0
50835085,"Piazzatorre, Lombardia, Italy",Piazzatorre,6,$80.00,32,4.56
50866789,"Bergamo, Lombardia, Italy",Bergamo,6,$162.00,52,4.94
50873031,"Lovere, Lombardia, Italy",Lovere,3,,44,4.93
50909115,"Bergamo, Lombardia, Italy",Bergamo,3,$73.00,162,4.7
50911487,,Serina,3,$50.00,11,4.64
50955012,,Bergamo,2,$63.00,3,3.67
51036272,,Predore,6,$277.00,14,4.86
51052036,,Bergamo,2,,7,4.86
51077615,,Lovere,4,$88.00,9,4.0
51118753,"Bergamo, Lombardia, Italy",Bergamo,3,$120.00,20,4.6
51135742,,Clusone,4,$91.00,7,4.86
51136519,,Bergamo,4,$87.00,112,4.79
51137789,"Bergamo, Lombardia, Italy",Bergamo,3,$73.00,169,4.67
51170718,,Songavazzo,6,$64.00,5,5.0
51305706,"Seriate, Lombardia, Italy",Seriate,4,$97.00,375,4.96
51340740,,Riva di Solto,4,$125.00,51,4.94
51387903,,Stezzano,4,$91.00,19,4.74
51396154,,Lovere,4,$88.00,6,5.0
51438484,,Fonteno,4,,0,
51438910,,Serina,2,$88.00,2,5.0
51481438,"Bergamo, Lombardia, Italy",Bergamo,4,$87.00,37,4.92
51490041,,San Pellegrino Terme,4,$139.00,196,4.98
51616542,"Seriate, Lombardia, Italy",Seriate,8,$119.00,44,4.8
51711683,,Bianzano,9,$110.00,23,4.96
51726048,,Dossena,6,$103.00,83,4.94
51810859,,Lovere,4,$89.00,3,4.67
51818651,"Riva di Solto, Lombardia, Italy",Riva di Solto,4,$120.00,122,4.89
51898830,"Bergamo, Lombardia, Italy",Bergamo,3,$85.00,15,4.87
51913800,,Zanica,4,$121.00,78,4.73
51935528,,Serina,8,,0,
51958108,,Bergamo,2,$70.00,218,4.89
51998591,,Bergamo,4,$84.00,169,4.86
52001335,"Bergamo, Lombardia, Italy",Bergamo,3,$121.00,121,4.95
52066876,"Albano Sant'Alessandro, Lombardia, Italy",Albano Sant'Alessandro,4,$120.00,12,5.0
52104766,"Tavernola bergamasca, Lombardia, Italy",Tavernola Bergamasca,6,$85.00,9,5.0
52124212,"Bergamo, Lombardia, Italy",Bergamo,3,$71.00,440,4.94
