id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
566637,,BUENOS AIRES - VENEZIA,10,$220.00,529,4.78
579191,"Milan, MI, Italy",S. CRISTOFORO,4,$194.00,74,4.84
584568,,GALLARATESE,2,$58.00,91,4.61
589496,,BUENOS AIRES - VENEZIA,5,$142.00,298,4.78
602405,"Milan, Lombardy, Italy",TICINESE,4,,59,4.7
621791,,VIGENTINA,3,$510.00,9,4.67
627433,"Milan, Lombardy, Italy",FARINI,2,$81.00,127,4.68
645501,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,2,$59.00,9,5.0
649485,"Milan, Lombardy, Italy",TICINESE,3,,3,4.0
671609,,XXII MARZO,2,$200.00,6,4.83
679442,,SARPI,2,$110.00,33,4.82
682825,,BRERA,2,$130.00,42,4.98
691171,"Milan, Lombardy, Italy",PADOVA,2,$30.00,146,4.54
691643,"Milan, Lombardy, Italy",PADOVA,4,$167.00,19,4.18
698687,,XXII MARZO,1,$245.00,12,4.92
702139,,GHISOLFA,4,$156.00,177,4.87
709463,"Milan, Lombardy, Italy",TORTONA,4,$65.00,128,4.36
709966,"Milan, Lombardy, Italy",GUASTALLA,1,$72.00,35,4.64
710637,,NAVIGLI,2,,4,5.0
711493,"Milan, Lombardy, Italy",NAVIGLI,2,$90.00,560,4.79
713411,"Milan, Lombardy, Italy",GIAMBELLINO,4,$133.00,253,4.79
713786,,DUOMO,3,$428.00,52,4.65
715392,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,3,$108.00,224,4.92
717747,"Milan, Lombardy, Italy",XXII MARZO,2,$38.00,30,4.5
718020,"Milan, Lombardy, Italy",S. CRISTOFORO,1,$82.00,82,4.35
723981,"Milan, Lombardy, Italy",CENTRALE,2,$260.00,114,4.51
726493,,S. CRISTOFORO,4,$152.00,20,4.45
730692,"Milan, Lombardy, Italy",PADOVA,2,$30.00,8,4.5
737797,"Milan, Lombardy, Italy",BOVISA,1,$34.00,57,4.95
739252,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,2,$85.00,119,4.86
752066,"Milan, Lombardy, Italy",STADERA,4,,183,4.67
753046,"Milan, Lombardy, Italy",GUASTALLA,2,$76.00,92,4.59
756000,"Milan, Lombardy, Italy",CENTRALE,3,$360.00,11,4.64
756319,"Milan, Lombardy, Italy",TICINESE,4,$70.00,219,4.53
763503,"Milan, Lombardy, Italy",SARPI,6,$855.00,17,4.47
768270,"Milan, Lombardy, Italy",SARPI,3,$219.00,2,5.0
768879,"Milan, Lombardy, Italy",SARPI,4,$122.00,119,4.77
768969,,BUENOS AIRES - VENEZIA,2,$124.00,994,4.94
773679,"Milan, Lombardy, Italy",CENTRALE,2,$254.00,7,4.43
786441,"Milan, Lombardy, Italy",CENTRALE,3,$110.00,381,4.76
794813,"Milan, Lombardy, Italy",LODI - CORVETTO,2,$100.00,1,3.0
802843,"Milan, Lombardy, Italy",LODI - CORVETTO,4,$49.00,34,4.75
806673,"Milan, Lombardy, Italy",ISOLA,2,$78.00,346,4.89
810216,"Milan, Lombardy, Italy",TIBALDI,6,$131.00,60,4.68
812419,"Milan, Lombardy, Italy",DUOMO,2,$140.00,75,4.91
815097,"Milan, Lombardy, Italy",DUOMO,2,$152.00,339,4.91
815792,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,,42,4.93
816254,"Milan, Lombardy, Italy",PAGANO,6,$300.00,74,4.77
833602,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$177.00,1395,4.94
836948,,BRERA,4,$552.00,0,
849465,"Milan, Lombardy, Italy",SARPI,1,$61.00,30,4.9
868679,"Milan, Lombardy, Italy",DUOMO,4,$204.00,40,4.63
874880,,DUOMO,6,$252.00,401,4.9
887729,"Milan, Lombardy, Italy",TICINESE,4,$215.00,49,4.55
901720,"Milan, Lombardy, Italy",ISOLA,6,$136.00,505,4.85
914201,"Milan, Lombardy, Italy",SARPI,2,$111.00,80,4.55
918194,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,3,$115.00,362,4.69
919349,"Milan, Lombardy, Italy",TORTONA,6,$370.00,18,4.33
922867,"Milan, Lombardy, Italy",GUASTALLA,2,$132.00,182,4.8
925938,,BUENOS AIRES - VENEZIA,2,$74.00,487,4.67
930303,"Milan, Lombardy, Italy",PAGANO,4,$93.00,51,4.92
932684,"Milan, Lombardy, Italy",GUASTALLA,2,$82.00,21,4.75
935594,,BRERA,2,$266.00,37,4.54
938960,"Milan, Lombardy, Italy",CITTA' STUDI,2,$112.00,5,4.2
