id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
1662234,"Naples, Campania, Italy",San Ferdinando,6,$174.00,635,4.92
1697521,"Naples, Campania, Italy",San Lorenzo,8,$55.00,312,4.65
1727463,"Naples, Campania, Italy",Avvocata,6,$101.00,381,4.77
1731430,"Naples, Campania, Italy",Stella,3,$72.00,311,4.83
1745867,"Naples, Campania, Italy",Porto,2,$68.00,77,4.52
1808056,"Naples, Campania, Italy",Montecalvario,4,$122.00,79,4.77
1813196,"Naples, Campania, Italy",Avvocata,2,$35.00,425,4.83
1823627,"Naples, Campania, Italy",Avvocata,4,$65.00,208,4.8
1848801,"Naples, Campania, Italy",San Lorenzo,3,$30.00,159,4.62
1858020,"Naples, Campania, Italy",San Giuseppe,5,$87.00,47,4.64
1876038,,San Giuseppe,4,$190.00,36,4.86
1938476,"Naples, Italy/Naples/Campania, Italy",Stella,5,$93.00,85,4.88
1954081,"Naples, Campania, Italy",San Giuseppe,4,,256,4.76
1957529,"Naples, Campania, Italy",Posillipo,6,$162.00,22,4.73
2009977,"Naples, Campania, Italy",Pendino,3,$99.00,224,4.94
2018660,"Naples, Campania, Italy",San Ferdinando,2,$69.00,111,4.49
2107600,"Naples, Campania, Italy",Porto,4,$67.00,204,4.73
2128658,"Naples, Campania, Italy",Avvocata,5,$77.00,104,4.69
2139538,"Naples, Campania, Italy",Chiaia,4,$50.00,70,4.57
2140338,"Naples, Campania, Italy",Montecalvario,4,$150.00,317,4.89
2158529,"Naples, Campania, Italy",Arenella,2,,58,4.71
2173635,"Naples, Campania, Italy",Posillipo,2,$187.00,155,4.94
2240415,"Naples, Campania, Italy",San Ferdinando,6,$333.00,126,4.94
2275431,,Vomero,2,$81.00,27,4.89
2328606,"Naples, Campania, Italy",Avvocata,2,$68.00,122,4.87
2360733,"Naples, Campania, Italy",San Lorenzo,11,$76.00,151,4.74
2374887,"Naples, Campania, Italy",Posillipo,6,$152.00,79,4.46
2402756,"Naples, Campania, Italy",San Lorenzo,2,$57.00,390,4.49
2412914,"Naples, Campania, Italy",Pendino,6,$160.00,216,4.68
2434080,"Naples, Campania, Italy",Ponticelli,4,$40.00,172,4.52
2444897,"Naples, Campania, Italy",Posillipo,6,$130.00,32,4.56
2470761,"Naples, Campania, Italy",San Lorenzo,6,$116.00,76,4.86
2479933,"Naples, NA, Italy",Montecalvario,5,,87,4.9
2605326,"Naples, Campania, Italy",San Ferdinando,4,,11,4.64
2627199,"Naples, Campania, Italy",San Ferdinando,4,$170.00,46,4.91
2643998,"Naples, Campania, Italy",Porto,4,,5,4.8
2658976,"Naples, Campania, Italy",San Ferdinando,6,$170.00,99,4.83
2661302,"Naples, Campania, Italy",San Ferdinando,6,,97,4.81
2689233,"Naples, Campania, Italy",Chiaia,4,$89.00,10,4.3
2704177,,San Lorenzo,4,,237,4.4
2709774,"Naples, Campania, Italy",San Lorenzo,2,,108,4.89
2732933,"Naples, Campania, Italy",Stella,2,$47.00,30,4.37
2759440,,Avvocata,2,$103.00,1,1.0
2779428,"Naples, Campania, Italy",Stella,2,$54.00,98,4.52
2806680,,San Giuseppe,3,$58.00,26,4.15
2840194,"Naples, Campania, Italy",Avvocata,2,$54.00,221,4.89
2871940,"Naples, Campania, Italy",San Lorenzo,5,,20,4.1
2888313,"Naples, Campania, Italy",Stella,2,$63.00,273,4.79
2888457,"Naples, Campania, Italy",Stella,2,$63.00,295,4.8
2976420,,San Lorenzo,4,,38,4.82
2995030,,Fuorigrotta,6,$60.00,254,4.85
3008801,"Naples, Campania, Italy",Arenella,1,$93.00,23,4.74
3035583,,San Giuseppe,5,$239.00,37,4.89
3039932,"Naples, Campania, Italy",San Lorenzo,16,,41,4.83
3046724,"Naples, Campania, Italy",San Lorenzo,4,$76.00,256,4.8
3047380,"Naples, Campania, Italy",San Lorenzo,5,$82.00,304,4.77
3097866,"Naples, Campania, Italy",Porto,4,$140.00,32,4.59
3099701,"Naples, Campania, Italy",Porto,4,$140.00,28,4.71
3117755,"Naples, NA, Italy",Chiaia,2,$77.00,123,4.56
3211779,"Naples, Campania, Italy",Pendino,2,$69.00,128,4.87
3216595,"Naples, Campania, Italy",San Lorenzo,2,,22,5.0
3234480,"Naples, Campania, Italy",San Giuseppe,16,$670.00,103,4.65
