id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
93976,"Rome, Lazio, Italy",I Centro Storico,2,$144.00,228,4.7
94106,"Rome, Lazio, Italy",I Centro Storico,4,,221,4.74
243353,"Rome, Lazio, Italy",I Centro Storico,2,,335,4.9
245450,,XIII Aurelia,4,$225.00,29,4.64
247254,,VII San Giovanni/Cinecittà,4,,266,4.48
248552,"Rome, Lazio, Italy",III Monte Sacro,4,$72.00,106,4.81
249258,"Rome, Lazio, Italy",XII Monte Verde,4,$110.00,185,4.72
255221,"Rome, Lazio, Italy",IX Eur,4,,302,4.68
95415,"Rome, Province of Rome, Italy",I Centro Storico,3,$89.00,591,4.52
96351,"Rome, Lazio, Italy",I Centro Storico,2,$207.00,207,4.93
96755,,XIV Monte Mario,2,$60.00,107,4.57
99620,,XII Monte Verde,3,$51.00,19,4.41
99635,"Rome, Lazio, Italy",XII Monte Verde,8,$110.00,47,4.4
102672,"Lido di Ostia, Lazio, Italy",X Ostia/Acilia,9,$380.00,16,4.38
103190,"Rome, Lazio, Italy",II Parioli/Nomentano,2,$125.00,14,4.86
103245,"Rome, Lazio, Italy",I Centro Storico,6,$133.00,501,4.88
103870,,I Centro Storico,3,$118.00,389,4.25
255532,"Rome, Lazio, Italy",XV Cassia/Flaminia,2,$108.00,4,4.25
256695,"Rome, Lazio, Italy",I Centro Storico,4,$148.00,290,4.96
258330,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,4,$107.00,104,4.89
259075,"Rome, Lazio, Italy",XIII Aurelia,11,$311.00,243,4.81
262254,"Rome, Lazio, Italy",I Centro Storico,10,$300.00,439,4.6
262313,,I Centro Storico,3,$90.00,283,4.74
262876,"Rome, Lazio, Italy",I Centro Storico,3,$101.00,432,4.49
108035,"Rome, Lazio, Italy",V Prenestino/Centocelle,4,$124.00,63,4.57
108039,"Rome, Lazio, Italy",I Centro Storico,3,$105.00,254,4.86
113590,"Rome, Lazio, Italy",I Centro Storico,2,$57.00,828,4.64
116291,"Rome, Lazio, Italy",I Centro Storico,2,$116.00,61,4.82
117251,"Rome, Lazio, Italy",I Centro Storico,4,$122.00,47,4.89
118803,,II Parioli/Nomentano,4,$73.00,189,4.89
124269,"Rome, Lazio, Italy",I Centro Storico,4,$215.00,201,4.81
125484,,I Centro Storico,2,$228.00,352,4.87
131221,,I Centro Storico,2,$120.00,192,4.96
263658,"Rome, Lazio, Italy",I Centro Storico,4,$104.00,459,4.56
264679,"Rome, Lazio, Italy",XIII Aurelia,2,$72.00,272,4.78
266296,"Rome, Lazio, Italy",I Centro Storico,5,$163.00,204,4.76
269143,"Rome, Lazio, Italy",I Centro Storico,4,$134.00,198,4.8
271812,"Rome, Lazio, Italy",I Centro Storico,4,$190.00,338,4.72
135307,"Rome, Lazio, Italy",VIII Appia Antica,3,$93.00,116,4.78
137713,,I Centro Storico,3,$214.00,160,4.77
