id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
2782841,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$86.00,77,4.94
2809231,,San Donato - San Vitale,2,$118.00,8,4.75
2826093,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,2,$85.00,194,4.56
2963789,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,6,$101.00,64,4.44
3064628,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,7,$343.00,552,4.95
3073487,,Santo Stefano,4,$80.00,223,4.41
3100947,,Santo Stefano,3,$135.00,587,4.83
3216486,"Bologna, Emilia-Romagna, Italy",Navile,2,$44.00,677,4.93
3307389,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$63.00,173,4.95
3333656,,Navile,1,$850.00,17,4.65
3340388,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,2,$135.00,64,4.88
3515960,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$170.00,231,4.8
3573660,,Santo Stefano,1,$48.00,19,4.32
3600856,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$145.00,7,4.71
3794422,,San Donato - San Vitale,2,$116.00,169,4.95
3837496,"Bologna, BO, Italy",Porto - Saragozza,2,$58.00,525,4.66
3854536,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$178.00,40,4.2
3869505,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,2,$98.00,16,4.75
3978327,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,5,$90.00,31,4.94
3988800,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,4,$113.00,91,4.89
4051295,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,,361,4.85
4056393,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,3,$223.00,131,4.86
4071051,"Bologna, Emilia-Romagna, Italy",Savena,3,$71.00,22,4.59
4111283,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$161.00,391,4.9
4136349,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,6,$52.00,25,4.68
4147236,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$76.00,552,4.91
4156614,,Santo Stefano,3,$120.00,1,5.0
4166793,"Bologna, Emilia-Romagna, Italy",Santo Stefano,6,$161.00,997,4.54
4189367,"Bologna, Emilia-Romagna, Italy",Santo Stefano,5,,309,4.62
4203326,"Bologna, Emilia-Romagna, Italy",Navile,5,$422.00,229,4.44
4254158,"Bologna, Emilia-Romagna, Italy",Santo Stefano,4,$171.00,1,4.0
4254214,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$166.00,4,5.0
4254270,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$166.00,0,
4256731,"Bologna, Emilia-Romagna, Italy",Santo Stefano,5,$51.00,2,4.5
4275165,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,4,$202.00,78,4.65
4275390,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,4,$157.00,84,4.71
4296228,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$160.00,17,4.53
4314754,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$96.00,83,4.88
4349939,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$144.00,23,4.43
4354364,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,5,$143.00,3,5.0
4394039,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,4,$94.00,90,4.82
4471957,"Bologna, Emilia-Romagna, Italy",Navile,3,$89.00,133,4.81
4524306,,Porto - Saragozza,7,$162.00,84,4.77
4607961,,Porto - Saragozza,4,$183.00,407,4.87
4706776,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$45.00,58,4.48
4773350,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,4,$112.00,546,4.88
4791993,,Santo Stefano,4,$53.00,18,4.78
